Classifier,Classification Groups,Accuracy,Recall,Precision,F-score,ROC_AUC,Report,Confusion Matrix,HyperParameters,Scoring Metrics,Time
LogisticRegression,HC_AD,0.8530612244897959,0.797979797979798,0.8315789473684211,0.8144329896907218,0.8441953784419538,"              precision    recall  f1-score   support

           0       0.87      0.89      0.88       146
           1       0.83      0.80      0.81        99

    accuracy                           0.85       245
   macro avg       0.85      0.84      0.85       245
weighted avg       0.85      0.85      0.85       245
","[[130  16]
 [ 20  79]]","OrderedDict([('C', 8.258455264726797), ('class_weight', 'balanced'), ('multi_class', 'multinomial'), ('penalty', 'l2'), ('solver', 'saga'), ('tol', 0.09920201651754)])",accuracy,2021-05-05 07:36:24
SVC,HC_AD,0.8530612244897959,0.7474747474747475,0.8705882352941177,0.8043478260869567,0.8360661408606614,"              precision    recall  f1-score   support

           0       0.84      0.92      0.88       146
           1       0.87      0.75      0.80        99

    accuracy                           0.85       245
   macro avg       0.86      0.84      0.84       245
weighted avg       0.85      0.85      0.85       245
","[[135  11]
 [ 25  74]]","OrderedDict([('C', 0.49845352827510586), ('class_weight', 'balanced'), ('coef0', 0.6708858847597209), ('degree', 9), ('gamma', 0.028165860410198147), ('kernel', 'poly'), ('tol', 0.052180869440067744)])",accuracy,2021-05-05 07:36:24
GradientBoostingClassifier,MCI_AD,0.7183098591549296,0.3619047619047619,0.5352112676056338,0.43181818181818177,0.6149523809523809,"              precision    recall  f1-score   support

           0       0.76      0.87      0.81       250
           1       0.54      0.36      0.43       105

    accuracy                           0.72       355
   macro avg       0.65      0.61      0.62       355
weighted avg       0.70      0.72      0.70       355
","[[217  33]
 [ 67  38]]","OrderedDict([('learning_rate', 0.48711924341251), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 7), ('min_samples_split', 0.047177546784180416), ('n_estimators', 274)])",accuracy,2021-05-05 07:36:27
LogisticRegression,MCI_AD,0.6788732394366197,0.6666666666666666,0.4697986577181208,0.5511811023622047,0.6753333333333333,"              precision    recall  f1-score   support

           0       0.83      0.68      0.75       250
           1       0.47      0.67      0.55       105

    accuracy                           0.68       355
   macro avg       0.65      0.68      0.65       355
weighted avg       0.72      0.68      0.69       355
","[[171  79]
 [ 35  70]]","OrderedDict([('C', 7.0457440975184085), ('class_weight', 'balanced'), ('multi_class', 'multinomial'), ('penalty', 'l2'), ('solver', 'saga'), ('tol', 0.007991770571158456)])",accuracy,2021-05-05 07:36:28
SVC,MCI_AD,0.6619718309859155,0.7714285714285715,0.4576271186440678,0.574468085106383,0.6937142857142857,"              precision    recall  f1-score   support

           0       0.87      0.62      0.72       250
           1       0.46      0.77      0.57       105

    accuracy                           0.66       355
   macro avg       0.66      0.69      0.65       355
weighted avg       0.74      0.66      0.68       355
","[[154  96]
 [ 24  81]]","OrderedDict([('C', 0.39782272648183037), ('class_weight', 'balanced'), ('coef0', 0.2799713024344019), ('degree', 3), ('gamma', 0.04083422630318745), ('kernel', 'rbf'), ('tol', 0.041559309323663515)])",accuracy,2021-05-05 07:36:28
GradientBoostingClassifier,HC_MCI,0.650990099009901,0.8098859315589354,0.7006578947368421,0.7513227513227513,0.5822479303184748,"              precision    recall  f1-score   support

           0       0.50      0.35      0.41       141
           1       0.70      0.81      0.75       263

    accuracy                           0.65       404
   macro avg       0.60      0.58      0.58       404
weighted avg       0.63      0.65      0.63       404
","[[ 50  91]
 [ 50 213]]","OrderedDict([('learning_rate', 0.07989679030170786), ('max_depth', 5), ('max_features', 'log2'), ('min_samples_leaf', 9), ('min_samples_split', 0.8232768628464812), ('n_estimators', 384)])",accuracy,2021-05-05 07:36:30
LogisticRegression,HC_MCI,0.6460396039603961,0.623574144486692,0.7884615384615384,0.6963906581740977,0.6557587034490198,"              precision    recall  f1-score   support

           0       0.49      0.69      0.58       141
           1       0.79      0.62      0.70       263

    accuracy                           0.65       404
   macro avg       0.64      0.66      0.64       404
weighted avg       0.69      0.65      0.65       404
","[[ 97  44]
 [ 99 164]]","OrderedDict([('C', 0.6853672779673665), ('class_weight', 'balanced'), ('multi_class', 'multinomial'), ('penalty', 'l2'), ('solver', 'saga'), ('tol', 0.054086341037984625)])",accuracy,2021-05-05 07:36:30
SVC,HC_MCI,0.6287128712871287,0.5817490494296578,0.7927461139896373,0.6710526315789473,0.6490305530836232,"              precision    recall  f1-score   support

           0       0.48      0.72      0.57       141
           1       0.79      0.58      0.67       263

    accuracy                           0.63       404
   macro avg       0.64      0.65      0.62       404
weighted avg       0.68      0.63      0.64       404
","[[101  40]
 [110 153]]","OrderedDict([('C', 0.03845856075081698), ('class_weight', 'balanced'), ('coef0', 0.2269857960819604), ('degree', 3), ('gamma', 0.09808190647189424), ('kernel', 'sigmoid'), ('tol', 0.08543108577048097)])",accuracy,2021-05-05 07:36:30
GradientBoostingClassifier,HC_AD,0.8612244897959184,0.8476190476190476,0.8317757009345794,0.839622641509434,0.8595238095238096,"              precision    recall  f1-score   support

           0       0.88      0.87      0.88       140
           1       0.83      0.85      0.84       105

    accuracy                           0.86       245
   macro avg       0.86      0.86      0.86       245
weighted avg       0.86      0.86      0.86       245
","[[122  18]
 [ 16  89]]","OrderedDict([('learning_rate', 0.8709778064665875), ('max_depth', 14), ('max_features', 'auto'), ('min_samples_leaf', 1), ('min_samples_split', 0.05541892243830201), ('n_estimators', 92)])",accuracy,2021-05-05 07:37:04
LogisticRegression,HC_AD,0.8489795918367347,0.8285714285714286,0.8207547169811321,0.8246445497630333,0.8464285714285715,"              precision    recall  f1-score   support

           0       0.87      0.86      0.87       140
           1       0.82      0.83      0.82       105

    accuracy                           0.85       245
   macro avg       0.85      0.85      0.85       245
weighted avg       0.85      0.85      0.85       245
","[[121  19]
 [ 18  87]]","OrderedDict([('C', 7.256234165245803), ('class_weight', 'balanced'), ('multi_class', 'multinomial'), ('penalty', 'l2'), ('solver', 'saga'), ('tol', 0.02056547377400322)])",accuracy,2021-05-05 07:37:04
SVC,HC_AD,0.8408163265306122,0.780952380952381,0.8367346938775511,0.8078817733990147,0.8333333333333333,"              precision    recall  f1-score   support

           0       0.84      0.89      0.86       140
           1       0.84      0.78      0.81       105

    accuracy                           0.84       245
   macro avg       0.84      0.83      0.84       245
weighted avg       0.84      0.84      0.84       245
","[[124  16]
 [ 23  82]]","OrderedDict([('C', 0.5626609863783141), ('class_weight', 'balanced'), ('coef0', 0.5181614564582728), ('degree', 5), ('gamma', 0.054509888131230456), ('kernel', 'poly'), ('tol', 0.04156189254024677)])",accuracy,2021-05-05 07:37:04
GradientBoostingClassifier,MCI_AD,0.6901408450704225,0.4105263157894737,0.41935483870967744,0.4148936170212766,0.601417004048583,"              precision    recall  f1-score   support

           0       0.79      0.79      0.79       260
           1       0.42      0.41      0.41        95

    accuracy                           0.69       355
   macro avg       0.60      0.60      0.60       355
weighted avg       0.69      0.69      0.69       355
","[[206  54]
 [ 56  39]]","OrderedDict([('learning_rate', 0.9002833726334223), ('max_depth', 6), ('max_features', 'log2'), ('min_samples_leaf', 2), ('min_samples_split', 0.2906223609477448), ('n_estimators', 426)])",accuracy,2021-05-05 07:37:06
LogisticRegression,MCI_AD,0.6422535211267606,0.6947368421052632,0.4024390243902439,0.5096525096525096,0.6589068825910931,"              precision    recall  f1-score   support

           0       0.85      0.62      0.72       260
           1       0.40      0.69      0.51        95

    accuracy                           0.64       355
   macro avg       0.63      0.66      0.61       355
weighted avg       0.73      0.64      0.66       355
","[[162  98]
 [ 29  66]]","OrderedDict([('C', 7.598030274436984), ('class_weight', 'balanced'), ('multi_class', 'multinomial'), ('penalty', 'l2'), ('solver', 'saga'), ('tol', 0.03414638269776458)])",accuracy,2021-05-05 07:37:07
SVC,MCI_AD,0.6338028169014085,0.7684210526315789,0.40331491712707185,0.5289855072463768,0.6765182186234817,"              precision    recall  f1-score   support

           0       0.87      0.58      0.70       260
           1       0.40      0.77      0.53        95

    accuracy                           0.63       355
   macro avg       0.64      0.68      0.61       355
weighted avg       0.75      0.63      0.65       355
","[[152 108]
 [ 22  73]]","OrderedDict([('C', 0.5669100388908088), ('class_weight', 'balanced'), ('coef0', 0.5272288652824951), ('degree', 4), ('gamma', 0.05267728492280031), ('kernel', 'rbf'), ('tol', 0.015661937119363645)])",accuracy,2021-05-05 07:37:07
GradientBoostingClassifier,HC_MCI,0.6138613861386139,0.764,0.6631944444444444,0.7100371747211897,0.567064935064935,"              precision    recall  f1-score   support

           0       0.49      0.37      0.42       154
           1       0.66      0.76      0.71       250

    accuracy                           0.61       404
   macro avg       0.58      0.57      0.57       404
weighted avg       0.60      0.61      0.60       404
","[[ 57  97]
 [ 59 191]]","OrderedDict([('learning_rate', 0.42261057867747337), ('max_depth', 18), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 0.16099407499975374), ('n_estimators', 219)])",accuracy,2021-05-05 07:37:13
LogisticRegression,HC_MCI,0.6584158415841584,0.62,0.7828282828282829,0.6919642857142857,0.6703896103896103,"              precision    recall  f1-score   support

           0       0.54      0.72      0.62       154
           1       0.78      0.62      0.69       250

    accuracy                           0.66       404
   macro avg       0.66      0.67      0.65       404
weighted avg       0.69      0.66      0.66       404
","[[111  43]
 [ 95 155]]","OrderedDict([('C', 3.1712907763463263), ('class_weight', 'balanced'), ('multi_class', 'multinomial'), ('penalty', 'l2'), ('solver', 'saga'), ('tol', 0.03524395220884799)])",accuracy,2021-05-05 07:37:14
SVC,HC_MCI,0.6311881188118812,0.52,0.8176100628930818,0.6356968215158925,0.6658441558441559,"              precision    recall  f1-score   support

           0       0.51      0.81      0.63       154
           1       0.82      0.52      0.64       250

    accuracy                           0.63       404
   macro avg       0.66      0.67      0.63       404
weighted avg       0.70      0.63      0.63       404
","[[125  29]
 [120 130]]","OrderedDict([('C', 0.060779877485697624), ('class_weight', 'balanced'), ('coef0', 0.3864550609997458), ('degree', 9), ('gamma', 0.017018723122436952), ('kernel', 'rbf'), ('tol', 0.031488489785476095)])",accuracy,2021-05-05 07:37:14
GradientBoostingClassifier,HC_AD,0.8408163265306122,0.7889908256880734,0.8431372549019608,0.8151658767772513,0.8356718834322721,"              precision    recall  f1-score   support

           0       0.84      0.88      0.86       136
           1       0.84      0.79      0.82       109

    accuracy                           0.84       245
   macro avg       0.84      0.84      0.84       245
weighted avg       0.84      0.84      0.84       245
","[[120  16]
 [ 23  86]]","OrderedDict([('learning_rate', 0.36194052141659866), ('max_depth', 6), ('max_features', 'log2'), ('min_samples_leaf', 10), ('min_samples_split', 0.4543310411323027), ('n_estimators', 346)])",accuracy,2021-05-05 07:39:19
LogisticRegression,HC_AD,0.8081632653061225,0.8256880733944955,0.7627118644067796,0.7929515418502202,0.8099028602266596,"              precision    recall  f1-score   support

           0       0.85      0.79      0.82       136
           1       0.76      0.83      0.79       109

    accuracy                           0.81       245
   macro avg       0.81      0.81      0.81       245
weighted avg       0.81      0.81      0.81       245
","[[108  28]
 [ 19  90]]","OrderedDict([('C', 9.94457900509522), ('class_weight', 'balanced'), ('multi_class', 'multinomial'), ('penalty', 'l2'), ('solver', 'saga'), ('tol', 0.016624364147407415)])",accuracy,2021-05-05 07:39:20
SVC,HC_AD,0.8122448979591836,0.8073394495412844,0.7787610619469026,0.7927927927927928,0.8117579600647599,"              precision    recall  f1-score   support

           0       0.84      0.82      0.83       136
           1       0.78      0.81      0.79       109

    accuracy                           0.81       245
   macro avg       0.81      0.81      0.81       245
weighted avg       0.81      0.81      0.81       245
","[[111  25]
 [ 21  88]]","OrderedDict([('C', 0.31106755285033194), ('class_weight', 'balanced'), ('coef0', 0.8054457289282564), ('degree', 1), ('gamma', 0.07623662164531857), ('kernel', 'rbf'), ('tol', 0.059307563877699795)])",accuracy,2021-05-05 07:39:20
GradientBoostingClassifier,MCI_AD,0.6788732394366197,0.32978723404255317,0.3780487804878049,0.35227272727272724,0.5671924675959893,"              precision    recall  f1-score   support

           0       0.77      0.80      0.79       261
           1       0.38      0.33      0.35        94

    accuracy                           0.68       355
   macro avg       0.57      0.57      0.57       355
weighted avg       0.67      0.68      0.67       355
","[[210  51]
 [ 63  31]]","OrderedDict([('learning_rate', 0.6784086632826196), ('max_depth', 11), ('max_features', 'sqrt'), ('min_samples_leaf', 3), ('min_samples_split', 0.7105040720603224), ('n_estimators', 221)])",accuracy,2021-05-05 07:39:22
LogisticRegression,MCI_AD,0.647887323943662,0.6702127659574468,0.4012738853503185,0.50199203187251,0.655029754626233,"              precision    recall  f1-score   support

           0       0.84      0.64      0.73       261
           1       0.40      0.67      0.50        94

    accuracy                           0.65       355
   macro avg       0.62      0.66      0.61       355
weighted avg       0.73      0.65      0.67       355
","[[167  94]
 [ 31  63]]","OrderedDict([('C', 0.8627878059682971), ('class_weight', 'balanced'), ('multi_class', 'multinomial'), ('penalty', 'l2'), ('solver', 'saga'), ('tol', 0.029707847589515245)])",accuracy,2021-05-05 07:39:22
SVC,MCI_AD,0.6309859154929578,0.8297872340425532,0.40414507772020725,0.5435540069686412,0.6945871036113149,"              precision    recall  f1-score   support

           0       0.90      0.56      0.69       261
           1       0.40      0.83      0.54        94

    accuracy                           0.63       355
   macro avg       0.65      0.69      0.62       355
weighted avg       0.77      0.63      0.65       355
","[[146 115]
 [ 16  78]]","OrderedDict([('C', 0.7482607224378883), ('class_weight', 'balanced'), ('coef0', 0.33060467334171534), ('degree', 7), ('gamma', 0.05981595728660346), ('kernel', 'rbf'), ('tol', 0.06195286145474673)])",accuracy,2021-05-05 07:39:22
GradientBoostingClassifier,HC_MCI,0.5841584158415841,0.7171314741035857,0.6498194945848376,0.6818181818181818,0.5415722729995053,"              precision    recall  f1-score   support

           0       0.44      0.37      0.40       153
           1       0.65      0.72      0.68       251

    accuracy                           0.58       404
   macro avg       0.55      0.54      0.54       404
weighted avg       0.57      0.58      0.58       404
","[[ 56  97]
 [ 71 180]]","OrderedDict([('learning_rate', 0.7452189827673489), ('max_depth', 11), ('max_features', 'log2'), ('min_samples_leaf', 7), ('min_samples_split', 0.6030446994094069), ('n_estimators', 118)])",accuracy,2021-05-05 07:39:23
LogisticRegression,HC_MCI,0.655940594059406,0.6613545816733067,0.7545454545454545,0.7048832271762208,0.6542067026013592,"              precision    recall  f1-score   support

           0       0.54      0.65      0.59       153
           1       0.75      0.66      0.70       251

    accuracy                           0.66       404
   macro avg       0.65      0.65      0.65       404
weighted avg       0.67      0.66      0.66       404
","[[ 99  54]
 [ 85 166]]","OrderedDict([('C', 2.788641888384845), ('class_weight', 'balanced'), ('multi_class', 'multinomial'), ('penalty', 'l2'), ('solver', 'saga'), ('tol', 0.07171962125878018)])",accuracy,2021-05-05 07:39:23
SVC,HC_MCI,0.5965346534653465,0.4541832669322709,0.8142857142857143,0.5831202046035805,0.6421243132046975,"              precision    recall  f1-score   support

           0       0.48      0.83      0.61       153
           1       0.81      0.45      0.58       251

    accuracy                           0.60       404
   macro avg       0.65      0.64      0.60       404
weighted avg       0.69      0.60      0.59       404
","[[127  26]
 [137 114]]","OrderedDict([('C', 0.013855813923392116), ('class_weight', 'balanced'), ('coef0', 0.40893919730550143), ('degree', 0), ('gamma', 0.037569741637856), ('kernel', 'rbf'), ('tol', 0.06321022648454858)])",accuracy,2021-05-05 07:39:24
GradientBoostingClassifier,HC_AD,0.8326530612244898,0.7777777777777778,0.8020833333333334,0.7897435897435898,0.8238203957382039,"              precision    recall  f1-score   support

           0       0.85      0.87      0.86       146
           1       0.80      0.78      0.79        99

    accuracy                           0.83       245
   macro avg       0.83      0.82      0.83       245
weighted avg       0.83      0.83      0.83       245
","[[127  19]
 [ 22  77]]","OrderedDict([('learning_rate', 0.11069657349877257), ('max_depth', 10), ('max_features', 'log2'), ('min_samples_leaf', 5), ('min_samples_split', 0.6154753594510444), ('n_estimators', 102)])",accuracy,2021-05-05 07:40:06
GradientBoostingClassifier,HC_AD,0.7877551020408163,0.6701030927835051,0.7647058823529411,0.7142857142857143,0.767483978824185,"              precision    recall  f1-score   support

           0       0.80      0.86      0.83       148
           1       0.76      0.67      0.71        97

    accuracy                           0.79       245
   macro avg       0.78      0.77      0.77       245
weighted avg       0.79      0.79      0.78       245
","[[128  20]
 [ 32  65]]","OrderedDict([('learning_rate', 0.984887830260258), ('max_depth', 12), ('max_features', 'log2'), ('min_samples_leaf', 4), ('min_samples_split', 0.9319581494971976), ('n_estimators', 215)])",accuracy,2021-05-05 07:41:21
GradientBoostingClassifier,HC_AD,0.8081632653061225,0.7731958762886598,0.75,0.7614213197969544,0.8021384786848704,"              precision    recall  f1-score   support

           0       0.85      0.83      0.84       148
           1       0.75      0.77      0.76        97

    accuracy                           0.81       245
   macro avg       0.80      0.80      0.80       245
weighted avg       0.81      0.81      0.81       245
","[[123  25]
 [ 22  75]]","OrderedDict([('learning_rate', 0.6727536781641513), ('max_depth', 10), ('max_features', 'auto'), ('min_samples_leaf', 1), ('min_samples_split', 0.07158942471044111), ('n_estimators', 407)])",accuracy,2021-05-05 07:43:28
GradientBoostingClassifier,MULTI,0.500998003992016,0.45342291802565776,0.4773634393887558,0.46082998416758003,,"              precision    recall  f1-score   support

           0       0.50      0.43      0.46       146
           1       0.53      0.62      0.57       250
           2       0.41      0.30      0.35       105

    accuracy                           0.50       501
   macro avg       0.48      0.45      0.46       501
weighted avg       0.49      0.50      0.49       501
","[[ 63  76   7]
 [ 54 156  40]
 [  9  64  32]]","OrderedDict([('learning_rate', 0.9400800845370653), ('max_depth', 8), ('max_features', 'log2'), ('min_samples_leaf', 9), ('min_samples_split', 0.7886609913567624), ('n_estimators', 80)])",accuracy,2021-05-05 07:43:41
GradientBoostingClassifier,MULTI,0.4431137724550898,0.3790573730228903,0.4083617568347589,0.38305472785261824,,"              precision    recall  f1-score   support

           0       0.40      0.32      0.36       145
           1       0.48      0.61      0.54       252
           2       0.35      0.20      0.26       104

    accuracy                           0.44       501
   macro avg       0.41      0.38      0.38       501
weighted avg       0.43      0.44      0.43       501
","[[ 47  95   3]
 [ 62 154  36]
 [  9  74  21]]","OrderedDict([('learning_rate', 0.14023162777780104), ('max_depth', 12), ('max_features', 'log2'), ('min_samples_leaf', 7), ('min_samples_split', 0.5128992257786565), ('n_estimators', 326)])",accuracy,2021-05-05 08:00:16
GradientBoostingClassifier,HC_AD,0.8326530612244898,0.7142857142857143,0.8125,0.7602339181286549,0.8084415584415585,"              precision    recall  f1-score   support

           0       0.84      0.90      0.87       154
           1       0.81      0.71      0.76        91

    accuracy                           0.83       245
   macro avg       0.83      0.81      0.82       245
weighted avg       0.83      0.83      0.83       245
","[[139  15]
 [ 26  65]]","OrderedDict([('learning_rate', 0.2949177358334328), ('max_depth', 8), ('max_features', 'sqrt'), ('min_samples_leaf', 5), ('min_samples_split', 0.6860687551169755), ('n_estimators', 141)])",accuracy,2021-05-05 08:00:31
LogisticRegression,HC_AD,0.7959183673469388,0.6923076923076923,0.7411764705882353,0.7159090909090909,0.7747252747252749,"              precision    recall  f1-score   support

           0       0.82      0.86      0.84       154
           1       0.74      0.69      0.72        91

    accuracy                           0.80       245
   macro avg       0.78      0.77      0.78       245
weighted avg       0.79      0.80      0.79       245
","[[132  22]
 [ 28  63]]","OrderedDict([('C', 7.1160171650237345), ('class_weight', 'balanced'), ('multi_class', 'multinomial'), ('penalty', 'l2'), ('solver', 'saga'), ('tol', 0.06698747046989091)])",accuracy,2021-05-05 08:00:31
SVC,HC_AD,0.8204081632653061,0.7362637362637363,0.7701149425287356,0.752808988764045,0.8031968031968032,"              precision    recall  f1-score   support

           0       0.85      0.87      0.86       154
           1       0.77      0.74      0.75        91

    accuracy                           0.82       245
   macro avg       0.81      0.80      0.81       245
weighted avg       0.82      0.82      0.82       245
","[[134  20]
 [ 24  67]]","OrderedDict([('C', 0.18463974169300726), ('class_weight', 'balanced'), ('coef0', 0.1993890584820716), ('degree', 2), ('gamma', 0.06700758835442566), ('kernel', 'sigmoid'), ('tol', 0.08765577890324647)])",accuracy,2021-05-05 08:00:31
GradientBoostingClassifier,MCI_AD,0.6816901408450704,0.425531914893617,0.40404040404040403,0.4145077720207254,0.5997391375234369,"              precision    recall  f1-score   support

           0       0.79      0.77      0.78       261
           1       0.40      0.43      0.41        94

    accuracy                           0.68       355
   macro avg       0.60      0.60      0.60       355
weighted avg       0.69      0.68      0.68       355
","[[202  59]
 [ 54  40]]","OrderedDict([('learning_rate', 0.7061555777549517), ('max_depth', 12), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 0.5682199692437562), ('n_estimators', 405)])",accuracy,2021-05-05 08:00:34
LogisticRegression,MCI_AD,0.6422535211267606,0.648936170212766,0.3935483870967742,0.48995983935742965,0.6443914567538926,"              precision    recall  f1-score   support

           0       0.83      0.64      0.72       261
           1       0.39      0.65      0.49        94

    accuracy                           0.64       355
   macro avg       0.61      0.64      0.61       355
weighted avg       0.72      0.64      0.66       355
","[[167  94]
 [ 33  61]]","OrderedDict([('C', 3.4085914496726097), ('class_weight', 'balanced'), ('multi_class', 'multinomial'), ('penalty', 'l2'), ('solver', 'saga'), ('tol', 0.04374077430601756)])",accuracy,2021-05-05 08:00:34
SVC,MCI_AD,0.6197183098591549,0.5851063829787234,0.36423841059602646,0.4489795918367347,0.6086451455123503,"              precision    recall  f1-score   support

           0       0.81      0.63      0.71       261
           1       0.36      0.59      0.45        94

    accuracy                           0.62       355
   macro avg       0.59      0.61      0.58       355
weighted avg       0.69      0.62      0.64       355
","[[165  96]
 [ 39  55]]","OrderedDict([('C', 0.5806406899034909), ('class_weight', 'balanced'), ('coef0', 0.6616467278263479), ('degree', 9), ('gamma', 0.054198101285841176), ('kernel', 'poly'), ('tol', 0.026922313836059638)])",accuracy,2021-05-05 08:00:34
