Classifier,Classification Groups,Accuracy,Recall,Precision,F-score,ROC_AUC,Report,Confusion Matrix,HyperParameters,Scoring Metrics,Time
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
GradientBoostingClassifier,MCI_AD,0.723943661971831,0.288659793814433,0.491228070175439,0.363636363636364,0.58812834651962,"              precision    recall  f1-score   support

           0       0.77      0.89      0.82       258
           1       0.49      0.29      0.36        97

    accuracy                           0.72       355
   macro avg       0.63      0.59      0.59       355
weighted avg       0.69      0.72      0.70       355
","[[229  29]
 [ 69  28]]","OrderedDict([('learning_rate', 0.02428968559543046), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 0.9946297236973017), ('n_estimators', 488)])",accuracy,2021-05-04 19:40:47
LogisticRegression,MCI_AD,0.687323943661972,0.742268041237113,0.455696202531646,0.564705882352941,0.70446735395189,"              precision    recall  f1-score   support

           0       0.87      0.67      0.76       258
           1       0.46      0.74      0.56        97

    accuracy                           0.69       355
   macro avg       0.66      0.70      0.66       355
weighted avg       0.76      0.69      0.70       355
","[[172  86]
 [ 25  72]]","OrderedDict([('C', 4.63708950381426), ('class_weight', 'balanced'), ('multi_class', 'multinomial'), ('penalty', 'l2'), ('solver', 'saga'), ('tol', 0.0770496325280309)])",accuracy,2021-05-04 19:41:13
SVC,MCI_AD,0.695774647887324,0.484536082474227,0.447619047619048,0.465346534653465,0.62986494046192,"              precision    recall  f1-score   support

           0       0.80      0.78      0.79       258
           1       0.45      0.48      0.47        97

    accuracy                           0.70       355
   macro avg       0.62      0.63      0.63       355
weighted avg       0.70      0.70      0.70       355
","[[200  58]
 [ 50  47]]","OrderedDict([('C', 0.22223068262426268), ('class_weight', 'balanced'), ('coef0', 0.42098710768733705), ('degree', 6), ('gamma', 0.014092844611430637), ('kernel', 'poly'), ('tol', 0.02476925400198572)])",accuracy,2021-05-04 19:41:52
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
GradientBoostingClassifier,HC_AD,0.83265306122449,0.822222222222222,0.747474747474748,0.783068783068783,0.830465949820789,"              precision    recall  f1-score   support

           0       0.89      0.84      0.86       155
           1       0.75      0.82      0.78        90

    accuracy                           0.83       245
   macro avg       0.82      0.83      0.82       245
weighted avg       0.84      0.83      0.83       245
","[[130  25]
 [ 16  74]]","OrderedDict([('learning_rate', 0.34009983592042115), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 0.001), ('n_estimators', 500)])",roc_auc,2021-05-04 19:52:14
LogisticRegression,HC_AD,0.848979591836735,0.911111111111111,0.738738738738739,0.81592039800995,0.862007168458781,"              precision    recall  f1-score   support

           0       0.94      0.81      0.87       155
           1       0.74      0.91      0.82        90

    accuracy                           0.85       245
   macro avg       0.84      0.86      0.84       245
weighted avg       0.87      0.85      0.85       245
","[[126  29]
 [  8  82]]","OrderedDict([('C', 0.1), ('class_weight', 'balanced'), ('multi_class', 'multinomial'), ('penalty', 'l2'), ('solver', 'saga'), ('tol', 1e-05)])",roc_auc,2021-05-04 19:52:41
SVC,HC_AD,0.857142857142857,0.911111111111111,0.752293577981651,0.824120603015075,0.868458781362007,"              precision    recall  f1-score   support

           0       0.94      0.83      0.88       155
           1       0.75      0.91      0.82        90

    accuracy                           0.86       245
   macro avg       0.85      0.87      0.85       245
weighted avg       0.87      0.86      0.86       245
","[[128  27]
 [  8  82]]","OrderedDict([('C', 1.0), ('class_weight', 'balanced'), ('coef0', 0.0), ('degree', 10), ('gamma', 0.1), ('kernel', 'rbf'), ('tol', 0.1)])",roc_auc,2021-05-04 19:53:29
